prize,winner,date,gender,description
Gairdner Foundation International Award,César Milstein,1981-01-01T00:00:00Z,male,award
Goldman Environmental Prize,Christine Jean,1992-01-01T00:00:00Z,female,annual international award for environmental activists
Gairdner Foundation International Award,Judah Folkman,1991-01-01T00:00:00Z,male,award
A.G. Huntsman Award for Excellence in the Marine Sciences,Sallie W. Chisholm,2005-01-01T00:00:00Z,female,medal awarded by the Royal Society of Canada
Rachel Carson Award,Nell Newman,2014-01-01T00:00:00Z,female,$null$
Gairdner Foundation International Award,Eric Lander,2002-01-01T00:00:00Z,male,award
Spinoza Prize,Jack T. Pronk,2019-01-01T00:00:00Z,male,annual award in the Netherlands
Otto Naegeli Prize,Silvia Arber,2014-01-01T00:00:00Z,female,$null$
Tyler Prize for Environmental Achievement,Simon A. Levin,2014-01-01T00:00:00Z,male,prize administered by the University of Southern California
Goldman Environmental Prize,Myrsini Malakou,2001-01-01T00:00:00Z,female,annual international award for environmental activists
Gunnerus Sustainability Science Award,Sandra Myrna Díaz,2019-01-01T00:00:00Z,female,international award for sustainable research
Eminent Ecologist Award,Robert MacArthur,1973-01-01T00:00:00Z,male,$null$
Gairdner Foundation International Award,Ralph Steinman,2003-01-01T00:00:00Z,male,award
Natural World Book Prize,Edward O. Wilson,2002-01-01T00:00:00Z,male,"award conferred by The Wildlife Trusts, and presented to recognise environmental literature"
Sophie Prize,Wangari Muta Maathai,2004-01-01T00:00:00Z,female,$null$
FF Busse Award,Ferdynand Antoni Ossendowski,1907-01-01T00:00:00Z,male,Russian scientific award
Spinoza Prize,Carl Figdor,2006-01-01T00:00:00Z,male,annual award in the Netherlands
Champions of the Earth,Julia Carabias,2005-01-01T00:00:00Z,female,award
Gairdner Foundation International Award,Yoshio Masui,1992-01-01T00:00:00Z,male,award
Eminent Ecologist Award,Daniel Simberloff,2006-01-01T00:00:00Z,male,$null$
A.G. Huntsman Award for Excellence in the Marine Sciences,Katrina Edwards,2012-01-01T00:00:00Z,female,medal awarded by the Royal Society of Canada
Sierra Club John Muir Award,Olaus Murie,1962-01-01T00:00:00Z,male,$null$
Gairdner Foundation International Award,Napoleone Ferrara,2014-01-01T00:00:00Z,male,award
Blue Planet Prize,Gretchen Daily,2017-01-01T00:00:00Z,female,award of the Asahi Glass Foundation
Gairdner Foundation International Award,Adrian Peter Bird,2011-01-01T00:00:00Z,male,award
A.G. Huntsman Award for Excellence in the Marine Sciences,Jeffrey A. Hutchings,2017-01-01T00:00:00Z,male,medal awarded by the Royal Society of Canada
Goldman Environmental Prize,Rudi Putra,2014-01-01T00:00:00Z,male,annual international award for environmental activists
Carus medal,Jacques Monod,1965-01-01T00:00:00Z,male,$null$
Rothschild prize,Hans Lindner,1982-01-01T00:00:00Z,male,$null$
Goldman Environmental Prize,Janet Gibson,1990-01-01T00:00:00Z,female,annual international award for environmental activists
Otto Naegeli Prize,Walter J. Gehring,1982-01-01T00:00:00Z,male,$null$
Gairdner Foundation International Award,Thomas A. Steitz,2007-01-01T00:00:00Z,male,award
Otto Naegeli Prize,Ueli Schibler,1996-01-01T00:00:00Z,male,$null$
Gairdner Foundation International Award,Hugh Huxley,1975-01-01T00:00:00Z,male,award
Gairdner Foundation International Award,H. Robert Horvitz,1999-01-01T00:00:00Z,male,award
National Environmental Award,Mónica Fernández-Aceytuno,2003-01-01T00:00:00Z,female,$null$
Natural World Book Prize,David Attenborough,1998-01-01T00:00:00Z,male,"award conferred by The Wildlife Trusts, and presented to recognise environmental literature"
Global Environmental Citizen Award,Edward O. Wilson,2001-01-01T00:00:00Z,male,award
Goldman Environmental Prize,Giorgos Catsadorakis,2001-01-01T00:00:00Z,male,annual international award for environmental activists
Goldman Environmental Prize,Sviatoslav Zabelin,1993-01-01T00:00:00Z,male,annual international award for environmental activists
Gairdner Foundation International Award,Anthony R. Hunter,1994-01-01T00:00:00Z,male,award
Spinoza Prize,Theunis Piersma,2014-01-01T00:00:00Z,male,annual award in the Netherlands
Founder’s Medal,Alfred Russel Wallace,1892-01-01T00:00:00Z,male,award from the Royal Geographical Society
Bristol-Myers Squibb Award for Distinguished Achievement in Cancer Research,Elizabeth Blackburn,2003-01-01T00:00:00Z,female,$null$
Nobel Prize in Chemistry,Venkatraman Ramakrishnan,2009-01-01T00:00:00Z,male,one of the five Nobel Prizes established in 1895 by Alfred Nobel
Nobel Prize in Chemistry,Thomas A. Steitz,2009-01-01T00:00:00Z,male,one of the five Nobel Prizes established in 1895 by Alfred Nobel
Copley Medal,John Maynard Smith,1999-01-01T00:00:00Z,male,award given by the Royal Society of London
Copley Medal,Martin Evans,2009-01-01T00:00:00Z,male,award given by the Royal Society of London
Copley Medal,Ilya Mechnikov,1906-01-01T00:00:00Z,male,award given by the Royal Society of London
Copley Medal,Dorothy Hodgkin,1976-01-01T00:00:00Z,female,award given by the Royal Society of London
Audubon Medal,Edward O. Wilson,1995-01-01T00:00:00Z,male,$null$
Baly Medal,Archibald Hill,1927-01-01T00:00:00Z,male,$null$
Nobel Prize in Chemistry,William Howard Stein,1972-01-01T00:00:00Z,male,one of the five Nobel Prizes established in 1895 by Alfred Nobel
Copley Medal,Rudolf Virchow,1892-01-01T00:00:00Z,male,award given by the Royal Society of London
King Faisal International Prize in Medicine,Shinya Yamanaka,2011-01-01T00:00:00Z,male,$null$
Nobel Prize in Chemistry,Melvin Calvin,1961-01-01T00:00:00Z,male,one of the five Nobel Prizes established in 1895 by Alfred Nobel
Copley Medal,John Walsh,1773-01-01T00:00:00Z,male,award given by the Royal Society of London
Nobel Prize in Chemistry,Max Perutz,1962-01-01T00:00:00Z,male,one of the five Nobel Prizes established in 1895 by Alfred Nobel
Nobel Prize in Chemistry,Greg Winter,2018-01-01T00:00:00Z,male,one of the five Nobel Prizes established in 1895 by Alfred Nobel
Copley Medal,James D. Watson,1993-01-01T00:00:00Z,male,award given by the Royal Society of London
Copley Medal,Louis Agassiz,1861-01-01T00:00:00Z,male,award given by the Royal Society of London
Copley Medal,Richard Owen,1851-01-01T00:00:00Z,male,award given by the Royal Society of London
Copley Medal,Francis Crick,1975-01-01T00:00:00Z,male,award given by the Royal Society of London
Copley Medal,Ray Lankester,1913-01-01T00:00:00Z,male,award given by the Royal Society of London
Copley Medal,John Gurdon,2003-01-01T00:00:00Z,male,award given by the Royal Society of London
Copley Medal,Ronald Fisher,1955-01-01T00:00:00Z,male,award given by the Royal Society of London
Nobel Prize in Chemistry,Michael Levitt,2013-01-01T00:00:00Z,male,one of the five Nobel Prizes established in 1895 by Alfred Nobel
Copley Medal,César Milstein,1989-01-01T00:00:00Z,male,award given by the Royal Society of London
Copley Medal,Henry Baker,1744-01-01T00:00:00Z,male,award given by the Royal Society of London
Copley Medal,George Edwards,1750-01-01T00:00:00Z,male,award given by the Royal Society of London
Copley Medal,Theodor El marica,1845-01-01T00:00:00Z,male,award given by the Royal Society of London
Nobel Prize in Chemistry,Martin Chalfie,2008-01-01T00:00:00Z,male,one of the five Nobel Prizes established in 1895 by Alfred Nobel
Copley Medal,David Keilin,1951-01-01T00:00:00Z,male,award given by the Royal Society of London
Copley Medal,Frank Fenner,1995-01-01T00:00:00Z,male,award given by the Royal Society of London
Nobel Prize in Chemistry,Vincent du Vigneaud,1955-01-01T00:00:00Z,male,one of the five Nobel Prizes established in 1895 by Alfred Nobel
Copley Medal,Peter Medawar,1969-01-01T00:00:00Z,male,award given by the Royal Society of London
Baly Medal,Bernardo Houssay,1947-01-01T00:00:00Z,male,$null$
Nobel Prize in Chemistry,George P. Smith,2018-01-01T00:00:00Z,male,one of the five Nobel Prizes established in 1895 by Alfred Nobel
Copley Medal,Alfred Russel Wallace,1908-11-30T00:00:00Z,male,award given by the Royal Society of London
Copley Medal,Hugh Huxley,1997-01-01T00:00:00Z,male,award given by the Royal Society of London
Copley Medal,Max Perutz,1979-01-01T00:00:00Z,male,award given by the Royal Society of London
Copley Medal,Alan Lloyd Hodgkin,1965-01-01T00:00:00Z,male,award given by the Royal Society of London
Copley Medal,William Watson,1745-01-01T00:00:00Z,male,award given by the Royal Society of London
Royal Society Science Books Prize,Steven Rose,1993-01-01T00:00:00Z,male,annual award for writing
Copley Medal,Karl Ernst von Baer,1867-01-01T00:00:00Z,male,award given by the Royal Society of London
Nobel Prize in Chemistry,Dorothy Hodgkin,1964-01-01T00:00:00Z,female,one of the five Nobel Prizes established in 1895 by Alfred Nobel
Nobel Prize in Chemistry,Irwin Rose,2004-01-01T00:00:00Z,male,one of the five Nobel Prizes established in 1895 by Alfred Nobel
Copley Medal,Everard Home,1807-01-01T00:00:00Z,male,award given by the Royal Society of London
Copley Medal,Howard Florey,1957-01-01T00:00:00Z,male,award given by the Royal Society of London
Nobel Prize in Chemistry,Sidney Altman,1989-01-01T00:00:00Z,male,one of the five Nobel Prizes established in 1895 by Alfred Nobel
Karl Ritter von Frisch Medal,Walter J. Gehring,2000-01-01T00:00:00Z,male,$null$
Copley Medal,John Ellis,1767-01-01T00:00:00Z,male,award given by the Royal Society of London
Copley Medal,Jeffrey I. Gordon,2018-01-01T00:00:00Z,male,award given by the Royal Society of London
Nobel Prize in Chemistry,Tomas Lindahl,2015-01-01T00:00:00Z,male,one of the five Nobel Prizes established in 1895 by Alfred Nobel
Copley Medal,Johannes Peter Müller,1854-01-01T00:00:00Z,male,award given by the Royal Society of London
Copley Medal,Archibald Hill,1948-01-01T00:00:00Z,male,award given by the Royal Society of London
Copley Medal,Oswald Avery,1945-01-01T00:00:00Z,male,award given by the Royal Society of London
Copley Medal,Albert Kluyver,1953-01-01T00:00:00Z,male,award given by the Royal Society of London
Copley Medal,Henri Milne-Edwards,1856-01-01T00:00:00Z,male,award given by the Royal Society of London
Copley Medal,Thomas Henry Huxley,1888-01-01T00:00:00Z,male,award given by the Royal Society of London
Copley Medal,Andrew Huxley,1973-01-01T00:00:00Z,male,award given by the Royal Society of London
Copley Medal,Tomas Lindahl,2010-01-01T00:00:00Z,male,award given by the Royal Society of London
Nobel Prize in Physiology or Medicine,Randy Schekman,2013-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Nobel Prize in Physiology or Medicine,Lee Hartwell,2001-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Gairdner Foundation International Award,William F. Hamilton,1960-01-01T00:00:00Z,male,award
Nobel Prize in Physiology or Medicine,James Rothman,2013-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Baly Medal,Andrew Huxley,1975-01-01T00:00:00Z,male,$null$
Gairdner Foundation International Award,Ōsumi Yoshinori,2015-01-01T00:00:00Z,male,award
Gairdner Foundation International Award,Richard Hynes,1997-01-01T00:00:00Z,male,award
Gairdner Foundation International Award,Charles Philippe Leblond,1965-01-01T00:00:00Z,male,award
Baly Medal,Wilhelm Feldberg,1963-01-01T00:00:00Z,male,$null$
Royal medal,John Skehel,2003-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
Nobel Prize in Physiology or Medicine,J. Michael Bishop,1989-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Audubon Medal,Michael Dombeck,2001-01-01T00:00:00Z,male,$null$
Nobel Prize in Physiology or Medicine,Mario Capecchi,2007-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Audubon Medal,Olaus Murie,1959-01-01T00:00:00Z,male,$null$
Royal medal,Henry Harris,1980-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
Nobel Prize in Physiology or Medicine,Oliver Smithies,2007-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Royal medal,Philip Cohen,2008-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
Francqui Prize,Michel A. J. Georges,2008-01-01T00:00:00Z,male,award
Nobel Prize in Physiology or Medicine,Selman Abraham Waksman,1952-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Nobel Prize in Physiology or Medicine,Barry Marshall,2005-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Francqui Prize,Hubert Chantrenne,1963-01-01T00:00:00Z,male,award
Nobel Prize in Physiology or Medicine,André Lwoff,1965-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Nobel Prize in Physiology or Medicine,Robert Edwards,2010-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Benjamin Franklin Medal,Mary-Dell Chilton,2002-01-01T00:00:00Z,female,science and engineering award presented by the Franklin Institute
Benjamin Franklin Medal,Cornelia Bargmann,2015-01-01T00:00:00Z,female,science and engineering award presented by the Franklin Institute
Nobel Prize in Physiology or Medicine,Gertrude B. Elion,1988-01-01T00:00:00Z,female,one of five Nobel Prizes established in 1895 by Alfred Nobel
Nobel Prize in Physiology or Medicine,Frederick Chapman Robbins,1954-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Royal medal,William Benjamin Carpenter,1861-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
Royal medal,Albany Hancock,1858-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
Royal medal,David Chilton Phillips,1975-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
Spinoza Prize,Els Goulmy,2002-01-01T00:00:00Z,female,annual award in the Netherlands
Bakerian Lecture,Richard Owen,1844-01-01T00:00:00Z,male,one of the premier medals of the Royal Society that recognizes exceptional and outstanding science
Tyler Prize for Environmental Achievement,Anne H. Ehrlich,1998-01-01T00:00:00Z,female,prize administered by the University of Southern California
Nobel Prize in Physiology or Medicine,Ilya Mechnikov,1908-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Louisa Gross Horwitz Prize,César Milstein,1980-01-01T00:00:00Z,male,Annual prize awarded by Columbia University
Tyler Prize for Environmental Achievement,Thomas Lovejoy,2001-01-01T00:00:00Z,male,prize administered by the University of Southern California
Nobel Prize in Physiology or Medicine,Daniel Bovet,1957-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Francqui Prize,Dirk Inzé,2005-01-01T00:00:00Z,male,award
Louisa Gross Horwitz Prize,Bert Sakmann,1986-01-01T00:00:00Z,male,Annual prize awarded by Columbia University
Louisa Gross Horwitz Prize,Günter Blobel,1987-01-01T00:00:00Z,male,Annual prize awarded by Columbia University
Tyler Prize for Environmental Achievement,Jared Diamond,2001-01-01T00:00:00Z,male,prize administered by the University of Southern California
Louisa Gross Horwitz Prize,Har Gobind Khorana,1968-01-01T00:00:00Z,male,Annual prize awarded by Columbia University
King Faisal International Prize in Medicine,Robert Edwards,1989-01-01T00:00:00Z,male,$null$
Louisa Gross Horwitz Prize,Elizabeth Blackburn,2007-01-01T00:00:00Z,female,Annual prize awarded by Columbia University
Louisa Gross Horwitz Prize,Carol Greider,2007-01-01T00:00:00Z,female,Annual prize awarded by Columbia University
Founder’s Medal,David Attenborough,1985-01-01T00:00:00Z,male,award from the Royal Geographical Society
Nobel Prize in Physiology or Medicine,Ōsumi Yoshinori,2016-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Gairdner Foundation International Award,Francis Crick,1962-01-01T00:00:00Z,male,award
Royal medal,Greg Winter,2011-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
Gairdner Foundation International Award,Arthur L. Horwich,2004-01-01T00:00:00Z,male,award
